source	text	source_code	weight	missing_chars
cn_dicts/8105.dict.yaml	㸆	kao	0	㸆
cn_dicts/8105.dict.yaml	𫸩	kou	0	𫸩
cn_dicts/8105.dict.yaml	㧟	kuai	0	㧟
cn_dicts/8105.dict.yaml	𫛭	kuang	0	𫛭
cn_dicts/8105.dict.yaml	𫠆	kui	0	𫠆
cn_dicts/8105.dict.yaml	𬶟	la	0	𬶟
cn_dicts/8105.dict.yaml	𬒗	lan	0	𬒗
cn_dicts/8105.dict.yaml	㫰	lang	0	㫰
cn_dicts/8105.dict.yaml	㮾	lang	0	㮾
cn_dicts/8105.dict.yaml	𫭼	lao	0	𫭼
cn_dicts/8105.dict.yaml	㰀	li	0	㰀
cn_dicts/8105.dict.yaml	𫵷	li	0	𫵷
cn_dicts/8105.dict.yaml	𬍛	li	0	𬍛
cn_dicts/8105.dict.yaml	𬶠	lian	0	𬶠
cn_dicts/8105.dict.yaml	𫟅	liang	0	𫟅
cn_dicts/8105.dict.yaml	𬜯	liang	0	𬜯
cn_dicts/8105.dict.yaml	𪤗	liao	0	𪤗
cn_dicts/8105.dict.yaml	䴕	lie	0	䴕
cn_dicts/8105.dict.yaml	𫚭	lie	0	𫚭
cn_dicts/8105.dict.yaml	𬭸	lin	0	𬭸
cn_dicts/8105.dict.yaml	𬴊	lin	0	𬴊
cn_dicts/8105.dict.yaml	㥄	ling	0	㥄
cn_dicts/8105.dict.yaml	𬕂	long	0	𬕂
cn_dicts/8105.dict.yaml	䁖	lou	0	䁖
cn_dicts/8105.dict.yaml	𦝼	lou	0	𦝼
cn_dicts/8105.dict.yaml	𪣻	lou	0	𪣻
cn_dicts/8105.dict.yaml	𫘧	lu	0	𫘧
cn_dicts/8105.dict.yaml	𬬻	lu	0	𬬻
cn_dicts/8105.dict.yaml	𫭢	lun	0	𫭢
cn_dicts/8105.dict.yaml	𬬭	lun	0	𬬭
cn_dicts/8105.dict.yaml	𦝼	lv	0	𦝼
cn_dicts/8105.dict.yaml	䂮	lve	0	䂮
cn_dicts/8105.dict.yaml	鿏	mai	0	鿏
cn_dicts/8105.dict.yaml	𬜬	man	0	𬜬
cn_dicts/8105.dict.yaml	𫞩	men	0	𫞩
cn_dicts/8105.dict.yaml	㠓	meng	0	㠓
cn_dicts/8105.dict.yaml	𫑡	meng	0	𫑡
cn_dicts/8105.dict.yaml	𩾃	mian	0	𩾃
cn_dicts/8105.dict.yaml	𬙊	mo	0	𬙊
cn_dicts/8105.dict.yaml	𧿹	mu	0	𧿹
cn_dicts/8105.dict.yaml	𬭁	mu	0	𬭁
cn_dicts/8105.dict.yaml	𦰡	na	0	𦰡
cn_dicts/8105.dict.yaml	𨺙	ni	0	𨺙
cn_dicts/8105.dict.yaml	𫐐	ni	0	𫐐
cn_dicts/8105.dict.yaml	𫠜	ni	0	𫠜
cn_dicts/8105.dict.yaml	𫔶	nie	0	𫔶
cn_dicts/8105.dict.yaml	𬪩	nong	0	𬪩
cn_dicts/8105.dict.yaml	𦰡	nuo	0	𦰡
cn_dicts/8105.dict.yaml	𠙶	ou	0	𠙶
cn_dicts/8105.dict.yaml	𬉼	ou	0	𬉼
cn_dicts/8105.dict.yaml	䴙	pi	0	䴙
cn_dicts/8105.dict.yaml	𬳵	pi	0	𬳵
cn_dicts/8105.dict.yaml	㛹	pian	0	㛹
cn_dicts/8105.dict.yaml	𡎚	pian	0	𡎚
cn_dicts/8105.dict.yaml	𬭯	pie	0	𬭯
cn_dicts/8105.dict.yaml	𬞟	pin	0	𬞟
cn_dicts/8105.dict.yaml	䥽	po	0	䥽
cn_dicts/8105.dict.yaml	䓫	qi	0	䓫
cn_dicts/8105.dict.yaml	𨙸	qi	0	𨙸
cn_dicts/8105.dict.yaml	𬨂	qi	0	𬨂
cn_dicts/8105.dict.yaml	𬘬	qian	0	𬘬
cn_dicts/8105.dict.yaml	䓖	qiong	0	䓖
cn_dicts/8105.dict.yaml	𨱇	qiu	0	𨱇
cn_dicts/8105.dict.yaml	㭕	qu	0	㭕
cn_dicts/8105.dict.yaml	䓛	qu	0	䓛
cn_dicts/8105.dict.yaml	𪨰	qu	0	𪨰
cn_dicts/8105.dict.yaml	𫭟	qu	0	𫭟
cn_dicts/8105.dict.yaml	𨟠	quan	0	𨟠
cn_dicts/8105.dict.yaml	𬒈	que	0	𬒈
cn_dicts/8105.dict.yaml	䎃	ran	0	䎃
cn_dicts/8105.dict.yaml	𫐓	rou	0	𫐓
cn_dicts/8105.dict.yaml	𫮃	shan	0	𫮃
cn_dicts/8105.dict.yaml	𪨶	she	0	𪨶
cn_dicts/8105.dict.yaml	𬬹	shen	0	𬬹
cn_dicts/8105.dict.yaml	𬳽	shen	0	𬳽
cn_dicts/8105.dict.yaml	䏡	shi	0	䏡
cn_dicts/8105.dict.yaml	䴓	shi	0	䴓
cn_dicts/8105.dict.yaml	𫚕	shi	0	𫚕
cn_dicts/8105.dict.yaml	𬤊	shi	0	𬤊
cn_dicts/8105.dict.yaml	𬬸	shu	0	𬬸
cn_dicts/8105.dict.yaml	㟃	si	0	㟃
cn_dicts/8105.dict.yaml	𪨊	song	0	𪨊
cn_dicts/8105.dict.yaml	㧐	song	0	㧐
cn_dicts/8105.dict.yaml	𫗧	su	0	𫗧
cn_dicts/8105.dict.yaml	𫟦	sui	0	𫟦
cn_dicts/8105.dict.yaml	𬭼	sui	0	𬭼
cn_dicts/8105.dict.yaml	鿎	ta	0	鿎
cn_dicts/8105.dict.yaml	䣘	tang	0	䣘
cn_dicts/8105.dict.yaml	𫘦	tao	0	𫘦
cn_dicts/8105.dict.yaml	䲢	teng	0	䲢
cn_dicts/8105.dict.yaml	䏲	ti	0	䏲
cn_dicts/8105.dict.yaml	䴘	ti	0	䴘
cn_dicts/8105.dict.yaml	𫘨	ti	0	𫘨
cn_dicts/8105.dict.yaml	䗴	ting	0	䗴
cn_dicts/8105.dict.yaml	𬘩	ting	0	𬘩
